program,jupyter,python_exp,pandas_skill,os,dark_mode,languages,continents,dob,wake_time,sleep_time,fav_season,caffeine,pet,fav_movie,fav_genres,hobbies,hw0
master's (ds),True,less than 1 year,2,i use google colab,True,english,"europe, north america",2024-12-22,,1900-01-01 00:15:00,summer,tea,dog,,"comedy, drama",climbing,
mit master's,True,2-4 years,3,windows,False,"english, portuguese, japanese",north america,1999-03-01,1900-01-01 08:45:00,1900-01-01 22:45:00,spring,energy drinks,pet rock,La La Land,comedy,"music, running",
bachelor's (cs),True,1-2 years,2,macos,True,"english, russian, spanish, portuguese","asia, north america",2000-05-17,1900-01-01 07:15:00,1900-01-01 23:30:00,fall,energy drinks,pet rock,Spirited Away,drama,"music, running",
master's (ds),True,less than 1 year,2,i use google colab,False,"english, mandarin","asia, north america",1999-03-20,1900-01-01 07:45:00,1900-01-01 23:00:00,spring,coffee,dog,Oppenheimer,horror,gaming,
master's (ds) [extension school],False,less than 1 year,1,windows,True,"english, mandarin, french",north america,2001-06-02,1900-01-01 08:45:00,1900-01-01 00:15:00,fall,tea,fish,La La Land,sci-fi,"cooking, movies",
bachelor's (am),True,1-2 years,2,windows,True,"english, russian","europe, north america",1998-04-05,1900-01-01 06:15:00,1900-01-01 23:45:00,spring,tea,cat,Interstellar,horror,"reading, hiking",😀
master's (ds),False,1-2 years,2,macos,False,english,"africa, asia, europe",2003-12-25,1900-01-01 09:45:00,1900-01-01 01:15:00,summer,energy drinks,pet rock,,"action, sci-fi",climbing,
phd,True,1-2 years,2,windows,False,"english, korean","europe, north america",,1900-01-01 06:15:00,1900-01-01 00:00:00,summer,tea,fish,The Matrix,sci-fi,"music, running",🤞
master's (ds) [extension school],True,1-2 years,2,linux,True,english,north america,1998-07-14,1900-01-01 10:15:00,1900-01-01 00:00:00,fall,coffee,pet rock,Spirited Away,,gaming,
bachelor's (am),True,4+ years,5,macos,False,"english, spanish, french","africa, asia, europe",2006-04-12,1900-01-01 06:30:00,1900-01-01 23:15:00,winter,tea,cat,,drama,climbing,😴
master's (ds),False,4+ years,4,macos,True,"english, korean, portuguese",north america,2004-03-08,1900-01-01 07:45:00,1900-01-01 00:15:00,fall,tea,fish,The Matrix,drama,,😀
master's (ds),True,less than 1 year,2,macos,True,"english, mandarin, german, spanish",north america,2008-09-02,1900-01-01 10:30:00,1900-01-01 23:15:00,fall,coffee,fish,The Matrix,"action, sci-fi",climbing,🤞
bachelor's (statistics),False,4+ years,3,linux,True,,north america,2007-05-10,1900-01-01 10:45:00,1900-01-01 23:30:00,winter,coffee,none,The Matrix,"action, sci-fi",,😀
bachelor's (cs),False,2-4 years,4,macos,True,"english, russian, german, korean","africa, asia, europe",2008-06-25,1900-01-01 11:00:00,1900-01-01 23:30:00,fall,coffee,none,Spirited Away,,"reading, hiking",
mit master's,True,1-2 years,3,windows,True,"english, korean","europe, north america",2007-11-21,1900-01-01 07:15:00,1900-01-01 22:30:00,winter,no caffeine for me!,cat,La La Land,"comedy, drama",gaming,🤞
bachelor's (am),False,2-4 years,4,windows,False,english,north america,2007-01-08,1900-01-01 07:45:00,1900-01-01 02:45:00,fall,coffee,pet rock,,comedy,climbing,
bachelor's (statistics),True,1-2 years,4,windows,False,english,"africa, asia, europe",2008-02-03,1900-01-01 07:45:00,1900-01-01 22:00:00,,coffee,pet rock,,horror,"music, running",😀
bachelor's (cs),True,4+ years,3,macos,True,english,"europe, north america",2008-03-17,1900-01-01 08:30:00,1900-01-01 22:15:00,fall,tea,dog,The Matrix,drama,"cooking, movies",🤞
bachelor's (statistics),False,less than 1 year,1,wsl,True,"english, hindi","africa, asia, europe",2000-03-19,1900-01-01 11:15:00,1900-01-01 22:00:00,winter,tea,pet rock,Parasite,horror,,😀
master's (ds),True,1-2 years,2,macos,True,"english, german, portuguese","asia, north america",1995-03-07,1900-01-01 11:15:00,1900-01-01 23:30:00,fall,coffee,pet rock,La La Land,horror,"cooking, movies",😀
bachelor's (am),True,2-4 years,3,linux,False,"english, hindi","asia, north america",2008-01-16,1900-01-01 11:30:00,1900-01-01 00:00:00,summer,coffee,dog,Oppenheimer,"comedy, drama","music, running",😀
bachelor's (statistics),False,less than 1 year,2,macos,False,english,"africa, asia, europe",2000-10-16,1900-01-01 08:15:00,1900-01-01 23:00:00,spring,no caffeine for me!,pet rock,Oppenheimer,comedy,"cooking, movies",😀
bachelor's (cs),True,1-2 years,2,windows,False,"english, french",north america,2007-08-10,1900-01-01 11:30:00,1900-01-01 00:45:00,fall,coffee,cat,La La Land,comedy,"reading, hiking",😀
hks master's,True,1-2 years,2,macos,True,"english, japanese",north america,2008-02-24,1900-01-01 09:30:00,1900-01-01 23:00:00,fall,no caffeine for me!,fish,Oppenheimer,"comedy, drama",gaming,😴
bachelor's (cs),True,2-4 years,4,macos,True,"english, hindi, french, portuguese","asia, north america",2004-10-23,1900-01-01 11:00:00,1900-01-01 22:00:00,fall,coffee,pet rock,Interstellar,comedy,climbing,🤞
mit master's,True,less than 1 year,2,linux,True,"english, spanish",north america,1999-02-05,1900-01-01 10:15:00,1900-01-01 23:15:00,summer,coffee,,The Matrix,drama,gaming,😀
bachelor's (cs),True,1-2 years,3,macos,True,english,"europe, north america",2004-03-04,1900-01-01 10:45:00,1900-01-01 23:15:00,fall,coffee,fish,Interstellar,horror,"cooking, movies",😀
bachelor's (am),False,4+ years,2,windows,False,"english, korean, german, hindi","europe, north america",2006-08-12,1900-01-01 09:30:00,1900-01-01 00:15:00,fall,coffee,fish,Parasite,comedy,"cooking, movies",😀
master's (ds) [extension school],True,1-2 years,1,windows,True,"english, spanish, portuguese, japanese","asia, north america",1996-10-15,1900-01-01 11:00:00,1900-01-01 23:00:00,summer,tea,none,,"comedy, drama",climbing,
master's (ds),True,less than 1 year,3,macos,True,"english, german","africa, asia, europe",2007-02-15,1900-01-01 11:00:00,1900-01-01 23:15:00,summer,tea,dog,The Matrix,sci-fi,gaming,😀
master's (ds),True,2-4 years,4,windows,True,english,"europe, north america",2005-01-12,1900-01-01 09:30:00,1900-01-01 23:45:00,spring,coffee,dog,Parasite,drama,climbing,
bachelor's (cs),True,less than 1 year,2,i use google colab,True,"english, german, portuguese, french","africa, asia, europe",2008-09-03,1900-01-01 06:15:00,1900-01-01 22:15:00,fall,coffee,dog,Oppenheimer,sci-fi,"music, running",🤞
phd,True,2-4 years,3,macos,True,english,"africa, asia, europe",2000-11-13,1900-01-01 08:15:00,1900-01-01 23:15:00,summer,tea,fish,Interstellar,"comedy, drama",gaming,
master's (ds),True,less than 1 year,1,linux,True,"english, cantonese, spanish","africa, asia, europe",,1900-01-01 06:45:00,1900-01-01 00:30:00,,no caffeine for me!,none,,sci-fi,climbing,
mit master's,True,less than 1 year,2,macos,True,"english, spanish, mandarin","europe, north america",1997-08-24,1900-01-01 11:30:00,1900-01-01 03:45:00,summer,coffee,none,,sci-fi,gaming,
hks master's,False,less than 1 year,1,windows,True,english,"europe, north america",2005-08-27,1900-01-01 11:00:00,1900-01-01 23:00:00,spring,tea,cat,Oppenheimer,horror,"reading, hiking",😴
master's (ds),True,less than 1 year,1,macos,True,english,"asia, north america",2008-01-09,1900-01-01 06:00:00,1900-01-01 23:30:00,fall,tea,dog,Parasite,comedy,,🤞
master's (ds) [extension school],True,1-2 years,2,macos,True,english,"africa, asia, europe",2003-05-22,1900-01-01 09:30:00,1900-01-01 23:15:00,summer,coffee,cat,,"comedy, drama","reading, hiking",😀
hks master's,True,less than 1 year,2,windows,False,"english, german, korean, french","asia, north america",1995-01-02,1900-01-01 09:45:00,1900-01-01 23:00:00,fall,coffee,fish,Oppenheimer,sci-fi,"cooking, movies",😀
master's (ds),True,1-2 years,3,macos,False,english,north america,2008-01-14,1900-01-01 08:30:00,1900-01-01 01:15:00,fall,,dog,Parasite,comedy,,😴
master's (ds),False,2-4 years,4,wsl,True,english,"asia, north america",2003-03-11,1900-01-01 08:30:00,1900-01-01 22:30:00,summer,energy drinks,pet rock,Spirited Away,"action, sci-fi","cooking, movies",
bachelor's (am),True,4+ years,4,windows,False,"english, german, spanish","asia, north america",1999-09-06,1900-01-01 11:30:00,1900-01-01 23:45:00,fall,tea,none,Interstellar,comedy,,😀
bachelor's (am),True,1-2 years,3,macos,True,"english, portuguese, german","europe, north america",2007-08-10,1900-01-01 07:30:00,1900-01-01 02:45:00,fall,tea,cat,Parasite,sci-fi,climbing,
master's (ds),False,less than 1 year,3,windows,True,"english, portuguese, spanish",north america,2006-01-03,1900-01-01 11:00:00,1900-01-01 00:00:00,fall,coffee,none,,"action, sci-fi","music, running",🤞
master's (ds),True,less than 1 year,1,macos,True,"english, japanese, cantonese, hindi","africa, asia, europe",2008-12-12,1900-01-01 08:15:00,1900-01-01 00:15:00,fall,coffee,pet rock,Interstellar,horror,"reading, hiking",
bachelor's (cs),True,less than 1 year,1,windows,True,"english, german, mandarin, spanish","europe, north america",,1900-01-01 11:45:00,1900-01-01 00:00:00,spring,tea,fish,Oppenheimer,horror,"cooking, movies",
bachelor's (cs),True,2-4 years,3,linux,True,,"africa, asia, europe",1998-01-01,1900-01-01 11:15:00,1900-01-01 22:15:00,fall,coffee,dog,Interstellar,drama,"music, running",😀
bachelor's (statistics),True,2-4 years,3,linux,False,english,"asia, north america",2003-11-20,1900-01-01 06:15:00,1900-01-01 00:00:00,summer,coffee,dog,,drama,"music, running",
bachelor's (statistics),True,1-2 years,4,macos,False,english,north america,2002-12-14,1900-01-01 08:30:00,1900-01-01 23:00:00,winter,coffee,none,La La Land,drama,climbing,
master's (ds),True,1-2 years,2,macos,False,"english, portuguese","europe, north america",2002-03-21,1900-01-01 08:00:00,1900-01-01 22:30:00,fall,tea,dog,Spirited Away,horror,"cooking, movies",🤞
hks master's,True,4+ years,5,windows,False,"english, korean, russian, french",north america,1986-06-14,1900-01-01 07:00:00,1900-01-01 23:45:00,fall,coffee,fish,La La Land,horror,"music, running",😴
bachelor's (cs),True,2-4 years,3,macos,True,"english, spanish, hindi, french","asia, north america",1999-06-13,1900-01-01 10:00:00,,summer,no caffeine for me!,dog,Interstellar,comedy,"reading, hiking",
master's (ds) [extension school],True,2-4 years,3,i use google colab,False,english,north america,1999-08-08,1900-01-01 07:45:00,1900-01-01 00:45:00,fall,coffee,fish,Interstellar,horror,climbing,😴
bachelor's (statistics),True,4+ years,4,windows,False,english,"africa, asia, europe",1991-09-02,1900-01-01 08:30:00,1900-01-01 00:30:00,summer,coffee,pet rock,Spirited Away,"comedy, drama","cooking, movies",
master's (ds),False,less than 1 year,2,windows,True,"english, mandarin, japanese",north america,2000-09-17,1900-01-01 10:00:00,1900-01-01 23:15:00,fall,coffee,dog,Spirited Away,comedy,gaming,😀
bachelor's (cs),False,2-4 years,4,windows,True,,"asia, north america",2001-04-16,1900-01-01 10:30:00,1900-01-01 00:30:00,winter,coffee,fish,The Matrix,drama,climbing,
master's (ds),True,2-4 years,3,linux,True,"english, japanese","africa, asia, europe",2004-04-13,1900-01-01 06:00:00,1900-01-01 23:00:00,winter,coffee,fish,The Matrix,comedy,"cooking, movies",😀
bachelor's (am),False,2-4 years,4,macos,True,english,north america,2002-08-14,1900-01-01 10:30:00,1900-01-01 23:15:00,fall,coffee,pet rock,Oppenheimer,"comedy, drama","reading, hiking",🤞
master's (ds) [extension school],True,less than 1 year,2,windows,False,english,north america,2001-03-02,,1900-01-01 00:30:00,summer,coffee,pet rock,,drama,"reading, hiking",
bachelor's (cs),True,2-4 years,3,macos,False,"english, japanese, portuguese",north america,1995-01-02,1900-01-01 10:45:00,1900-01-01 23:45:00,spring,tea,dog,Interstellar,,gaming,🤞
bachelor's (am),True,1-2 years,3,i use google colab,True,"english, portuguese",north america,1999-06-23,,1900-01-01 00:00:00,summer,tea,dog,Oppenheimer,comedy,gaming,
phd,True,1-2 years,2,linux,True,english,"europe, north america",2000-04-11,1900-01-01 07:15:00,,winter,coffee,cat,Oppenheimer,comedy,gaming,🤞
master's (ds),True,less than 1 year,2,macos,True,"english, russian","asia, north america",1995-10-11,,1900-01-01 00:45:00,winter,energy drinks,none,,,"music, running",😀
